Title,Year,Score,Title_Category,Runtime,URL
Cop-Out,1967,NR, Drama/Crime, 1h 35m,https://www.rottentomatoes.com/m/cop_out-1967
Coven of Sisters,2020,83, Drama, 1h 30m,https://www.rottentomatoes.com/m/coven_of_sisters
Friends With Benefits,2011,68, Romance, 1h 49m,https://www.rottentomatoes.com/m/friends_with_benefits
Insidious: The Last Key,2018,33, Horror/Mystery and thriller, 1h 43m,https://www.rottentomatoes.com/m/insidious_the_last_key
Irul,2021,0, Mystery and thriller, 1h 31m,https://www.rottentomatoes.com/m/irul
Kingsglaive: Final Fantasy XV,2016,12, Animation/Action, 1h 50m,https://www.rottentomatoes.com/m/kingsglaive_final_fantasy_xv_2016
Legally Blonde 3,2022,NR, Comedy,,https://www.rottentomatoes.com/m/legally_blonde_3
Leprechaun Returns,2018,50, Horror/Comedy, 1h 32m,https://www.rottentomatoes.com/m/leprechaun_returns
Dwegons and Leprechauns,2014,NR, Kids and family/Animation, 1h 37m,https://www.rottentomatoes.com/m/dwegons_and_leprechauns
Tersanjung: The Movie,2021,NR, Romance/Drama, 1h 54m,https://www.rottentomatoes.com/m/tersanjung_the_movie
The Knight and the Princess,2019,NR, Musical/Animation, 1h 37m,https://www.rottentomatoes.com/m/the_knight_and_the_princess
The Time Traveler's Wife,2009,38, Sci fi/Drama, 1h 47m,https://www.rottentomatoes.com/m/time_travelers_wife
The Possession of Hannah Grace,2018,18, Horror/Mystery and thriller, 1h 25m,https://www.rottentomatoes.com/m/the_possession_of_hannah_grace
The Possession Experiment,2016,20, Horror/Mystery and thriller, 1h 24m,https://www.rottentomatoes.com/m/the_possession_experiment
Ava's Possessions,2015,69, Comedy/Horror, 1h 29m,https://www.rottentomatoes.com/m/avas_possessions
The Possession of Michael King,2014,32, Horror, 1h 23m,https://www.rottentomatoes.com/m/the_possession_of_michael_king
The Possession of Sophie Love,2013,NR, Horror, 1h 10m,https://www.rottentomatoes.com/m/the_possession_of_sophie_love
The Possession in Japan,2013,NR, Horror/Mystery and thriller, 1h 20m,https://www.rottentomatoes.com/m/the_possession_in_japan
The Possession,2012,39, Horror/Mystery and thriller, 1h 31m,https://www.rottentomatoes.com/m/the_possession
The Possession of David O'Reilly,2010,NR, Horror, 1h 27m,https://www.rottentomatoes.com/m/the_possession_of_david_oreilly_2010
The Possession of Joel Delaney,1972,NR, Horror, 1h 45m,https://www.rottentomatoes.com/m/possession_of_joel_delaney
Earthly Possessions,1999,NR, Drama, 1h 45m,https://www.rottentomatoes.com/m/earthly_possessions
Possession,2008,NR, Mystery and thriller, 1h 26m,https://www.rottentomatoes.com/m/10009228-possession
This Night I'll Possess Your Corpse,1967,NR, Horror, 1h 47m,https://www.rottentomatoes.com/m/this-night-ill-posses-your-corpse-esta-noite-encarnarei-no-teu-cadaver
Possession,2002,64, Drama/Romance, 1h 42m,https://www.rottentomatoes.com/m/possession
Witchboard: The Possession,1995,NR, Horror, 1h 33m,https://www.rottentomatoes.com/m/witchboard_3_the_possession
Possessed,2000,NR, Mystery and thriller, 1h 50m,https://www.rottentomatoes.com/m/1102044-possessed
Possessed,1947,91, Mystery and thriller, 1h 48m,https://www.rottentomatoes.com/m/1035065-possessed
Possession,1981,86, Drama/Horror, 2h 7m,https://www.rottentomatoes.com/m/possession_1983
Amityville II: The Possession,1982,16, Horror, 1h 44m,https://www.rottentomatoes.com/m/amityville_2_the_possession
The Pianist,1991,NR, Romance, 1h 53m,https://www.rottentomatoes.com/m/the_pianist
Shoot the Piano Player,1960,90, Comedy/Drama, 1h 25m,https://www.rottentomatoes.com/m/shoot_the_piano_player
The Piano Teacher,2001,73, Drama, 1h 58m,https://www.rottentomatoes.com/m/piano_teacher
The Pianist,2002,95, War/Drama, 2h 28m,https://www.rottentomatoes.com/m/pianist
My Fair Lady,1964,95, Musical, 2h 50m,https://www.rottentomatoes.com/m/my_fair_lady
Leprechaun: Origins,2014,0, Horror, 1h 30m,https://www.rottentomatoes.com/m/leprechaun_origins
Leprechaun's Christmas Gold,1981,NR,,,https://www.rottentomatoes.com/m/leprechauns_christmas_gold
Spellbreaker: Secret of the Leprechauns,1996,NR, Fantasy, 1h 25m,https://www.rottentomatoes.com/m/spellbreaker_secret_of_the_leprechauns
Leapin' Leprechauns!,1995,NR, Fantasy, 1h 24m,https://www.rottentomatoes.com/m/leapin_leprechauns
The Last Leprechaun,1998,NR, Drama/Fantasy, 1h 36m,https://www.rottentomatoes.com/m/the_last_leprechaun_2001
A Very Unlucky Leprechaun,1998,NR, Fantasy, 1h 32m,https://www.rottentomatoes.com/m/very_unlucky_leprechaun
The Magical Legend of the Leprechauns,1999,NR,,,https://www.rottentomatoes.com/m/magical_legend_of_the_leprechauns
